batch,theory_admission,sim_admission,sim_eviction_total,sim_eviction_stage0,sim_eviction_stage1,sim_eviction_stage2
0,-3.75,0.0,0.0,0.0,0.0,0.0
1,8.4375,0.0,3.0,0.0,3.0,0.0
2,7.265625,6.0,0.0,0.0,0.0,0.0
3,-0.41015625,7.5,0.0,0.0,0.0,0.0
4,10.0634765625,1.125,0.0,0.0,0.0,0.0
5,2.728271484375,7.96875,0.0,0.0,0.0,0.0
6,4.04205322265625,4.1953125,0.0,0.0,0.0,0.0
7,7.9012298583984375,3.779296875,0.0,0.0,0.0,0.0
8,2.0919227600097656,7.12939453125,0.0,0.0,0.0,0.0
9,6.459174156188965,3.2537841796875,0.0,0.0,0.0,0.0
10,5.35709023475647,5.585723876953125,0.0,0.0,0.0,0.0
11,3.459256589412689,5.577507019042969,0.0,0.0,0.0,0.0
12,6.658111587166786,3.8388233184814453,0.0,0.0,0.0,0.0
13,4.082918073982,6.018340587615967,0.0,0.0,0.0,0.0
14,4.90276871714741,4.5979567766189575,0.0,0.0,0.0,0.0
15,5.809350548079237,4.738798588514328,0.0,0.0,0.0,0.0
16,4.061235277040396,5.628034181892872,0.0,0.0,0.0,0.0
17,5.566442992640077,4.410858331248164,0.0,0.0,0.0,0.0
18,4.996019801419607,5.265401449520141,0.0,0.0,0.0,0.0
19,4.580143003745434,5.110104439663701,0.0,0.0,0.0,0.0
20,5.527806394253503,4.663318363280268,0.0,0.0,0.0,0.0
21,4.655134754374046,5.338273716151889,0.0,0.0,0.0,0.0
22,5.035226761342315,4.8296690823499375,0.0,0.0,0.0,0.0
23,5.214615482541571,4.959208359948661,0.0,0.0,0.0,0.0
24,4.705310575816299,5.17873773830172,0.0,0.0,0.0,0.0
25,5.207400168323447,4.807171557161354,0.0,0.0,0.0,0.0
26,4.961766857733467,5.106982249822018,0.0,0.0,0.0,0.0
27,4.892241301590581,5.010893519851463,0.0,0.0,0.0,0.0
28,5.163373229711674,4.906146412819158,0.0,0.0,0.0,0.0
29,4.876602486667473,5.109146844087455,0.0,0.0,0.0,0.0
30,5.031716969381905,4.933956635276314,0.0,0.0,0.0,0.0
31,5.052901923272016,5.000694072839016,0.0,0.0,0.0,0.0
32,4.910084868873552,5.048664932493995,0.0,0.0,0.0,0.0
33,5.072717471454049,4.938648279753243,0.0,0.0,0.0,0.0
34,4.976539509027276,5.040190950937948,0.0,0.0,0.0,0.0
35,4.97478751012537,4.995775101512631,0.0,0.0,0.0,0.0
36,5.0491109805728325,4.975137909905749,0.0,0.0,0.0,0.0
37,4.957520641689934,5.0342462864833415,0.0,0.0,0.0,0.0
38,5.01626596245796,4.975838709466512,0.0,0.0,0.0,0.0
39,5.0115270656601005,5.004516898304354,0.0,0.0,0.0,0.0
40,4.973391696081405,5.012474845019675,0.0,0.0,0.0,0.0
41,5.024615080653169,4.981018769997142,0.0,0.0,0.0,0.0
42,4.9891873771224855,5.014370403738816,0.0,0.0,0.0,0.0
43,4.995054468107018,4.996272917828623,0.0,0.0,0.0,0.0
44,5.014291382024365,4.99388104991011,0.0,0.0,0.0,0.0
45,4.9858449213892815,5.010443999240895,0.0,0.0,0.0,0.0
46,5.0069753117451254,4.9915342135162994,0.0,0.0,0.0,0.0
47,5.001897169276633,5.0027492336739545,0.0,0.0,0.0,0.0
48,4.992397054595366,5.002912797770332,0.0,0.0,0.0,0.0
49,5.008080804798318,4.99429707753162,0.0,0.0,0.0,0.0
